Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules,measureKernelEvaluations,measureCacheHits
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,2,weka.classifiers.lazy.IBk,'-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091011E7,291.0,33.0,0.08087121212121212,0.10352453595865353,100.6469756327519,111.96429928692237,0.17985976896320482,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.003,0.0,0.0,0.0,0.0,91803.0,89484.0,13890.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,3,weka.classifiers.lazy.IBk,'-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091011E7,291.0,32.0,0.07119140625,0.09718165928992853,85.86676704876625,92.9206664921537,0.36920409659864156,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.002,0.0,0.0,0.0,0.0,92096.0,89484.0,13890.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,4,weka.classifiers.lazy.IBk,'-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091011E7,291.0,33.0,0.06818181818181818,0.08868582293351031,93.40777324457765,94.29828094572355,0.3917294656241448,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.002,0.0,0.0,0.0,0.0,91803.0,89484.0,13890.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,5,weka.classifiers.lazy.IBk,'-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091011E7,292.0,32.0,0.0912109375,0.1276525206003587,90.74318910256414,98.8084273804406,0.25827956545912834,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.002,0.0,0.0,0.0,0.0,92096.0,89777.0,13597.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,6,weka.classifiers.lazy.IBk,'-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091011E7,292.0,32.0,0.061425781249999985,0.08331400329195114,88.49646089579946,93.93811515802463,0.39427771546702917,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.002,0.0,0.0,0.0,0.0,92096.0,89777.0,13597.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,7,weka.classifiers.lazy.IBk,'-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091011E7,292.0,32.0,0.06591796875000001,0.10138054614529728,88.45900960135472,102.24438786927803,0.25486954441540693,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.002,0.0,0.0,0.0,0.0,92096.0,89777.0,13597.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,8,weka.classifiers.lazy.IBk,'-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091011E7,292.0,32.0,0.10107421874999997,0.13446921660678976,89.97795251126273,93.52662622035086,0.3584140415704574,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.002,0.0,0.0,0.0,0.0,92096.0,89777.0,13597.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,9,weka.classifiers.lazy.IBk,'-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091011E7,292.0,32.0,0.08330078124999998,0.11249050524169252,100.65488548627778,104.76186516698765,0.18621905518954138,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.001,0.0,0.0,0.0,0.0,92096.0,89777.0,13597.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,10,weka.classifiers.lazy.IBk,'-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091011E7,292.0,32.0,0.085546875,0.11490485194281393,97.94516337257556,105.63734128991354,0.10884825376952782,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.002,0.0,0.0,0.0,0.0,92096.0,89777.0,13597.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,1,weka.classifiers.lazy.IBk,'-K 8 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091011E7,291.0,33.0,0.05885416666666669,0.07658955149806172,102.62783282086316,108.59618876759758,0.18460019617765147,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.003,0.0,0.0,0.0,0.0,91835.0,89484.0,13890.0,NaN,NaN,?,?,?,?
