@relation 'All_energy_5feat_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45-weka.filters.unsupervised.attribute.Remove-R1-5,8,10-21,23-31'

@attribute onset_s numeric
@attribute dur_s numeric
@attribute pre_dur_b numeric
@attribute chord {A7,B5,B7,B9,Bb7,C6,C7,D7,E,E7,Eb6,Eb7,F7,G,G6,G7,Am}
@attribute phrase {f,i,m}
@attribute energy_rat numeric

@data
8.166667,0.165625,0.33125,Am,m,0.918853
8.333333,0.165625,0.33125,Am,m,1.068853
8.5,0.165625,0.33125,Am,m,0.931353
8.666667,0.165625,0.33125,Am,m,0.943853
8.833333,0.165625,0.33125,Am,m,0.943853
9,0.248958,0.33125,Am,m,0.943853
9.25,0.082292,0.497917,Am,m,0.943853
9.333333,0.082292,0.164583,Am,m,0.943853
9.416667,0.082292,0.164583,Am,m,0.993853
9.5,0.165625,0.164583,Am,m,0.968853
9.5,0.165625,0.33125,Am,m,1.056353
9.5,0.165625,0.33125,Am,m,1.168853
9.5,1.498958,0.33125,Am,f,0.906353
9.666667,0.165625,2.997917,Am,i,1.156353
9.833333,0.165625,0.33125,Am,m,0.956353
10,0.165625,0.33125,Am,m,0.943853
10.166667,0.165625,0.33125,Am,m,0.943853
10.333333,0.165625,0.33125,Am,m,0.943853
10.5,0.165625,0.33125,Am,m,0.943853
10.666667,0.165625,0.33125,Am,m,1.043853
10.833333,0.165625,0.33125,Am,m,0.881353
11,0.165625,0.33125,Am,m,0.881353
11.166667,0.165625,0.33125,Am,m,0.881353
11.333333,0.165625,0.33125,Am,m,0.881353
11.5,0.165625,0.33125,Am,m,0.906353
11.666667,0.165625,0.33125,Am,m,0.981353
11.833333,0.165625,0.33125,Am,m,1.068853
12,0.248958,0.33125,Am,m,0.881353
12.25,0.082292,0.497917,Am,m,0.981353
12.333333,0.082292,0.164583,Am,m,0.943853
12.416667,0.082292,0.164583,Am,m,0.943853
12.5,0.165625,0.164583,Am,m,0.906353
12.5,0.165625,0.33125,Am,m,0.993853
12.5,0.165625,0.33125,Am,f,0.993853
12.5,1.498958,0.33125,Am,i,0.968853
12.666667,0.165625,2.997917,Am,i,0.993853
12.833333,0.165625,0.33125,Am,m,0.931353
13,0.165625,0.33125,Am,m,0.968853
13.166667,0.165625,0.33125,Am,m,0.931353
13.333333,0.165625,0.33125,Am,m,0.931353
13.5,0.165625,0.33125,Am,m,0.931353
13.666667,0.165625,0.33125,Am,m,0.931353
13.833333,0.165625,0.33125,Am,m,0.931353
14,0.165625,0.33125,Am,m,0.931353
14.166667,0.165625,0.33125,Am,m,0.918853
14.333333,0.165625,0.33125,Am,m,0.956353
14.5,0.165625,0.33125,Am,m,0.956353
14.666667,0.165625,0.33125,Am,m,0.893853
14.833333,0.165625,0.33125,Am,m,0.893853
15,0.165625,0.33125,Am,m,0.981353
15.166667,0.165625,0.33125,Am,m,0.956353
15.333333,0.165625,0.33125,Am,m,0.931353
15.5,0.498958,0.33125,Am,f,0.931353
15.5,0.248958,0.997917,Am,i,0.931353
15.75,0.082292,0.497917,Am,i,1.018853
15.833333,0.082292,0.164583,Am,m,1.106353
15.916667,0.082292,0.164583,Am,m,1.106353
16,0.998958,0.164583,Am,m,0.981353
16.166667,0.165625,1.997917,Am,m,1.043853
16.333333,0.165625,0.33125,Am,m,1.256353
16.5,0.165625,0.33125,Am,m,1.143853
16.666667,0.165625,0.33125,Am,m,1.056353
16.833333,0.165625,0.33125,Am,m,1.006353
17,0.498958,0.33125,Am,m,1.018853
