@relation 'Suite_en_la_v2_energy_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45'

@attribute onset_b numeric
@attribute dur_b numeric
@attribute string numeric
@attribute pitch numeric
@attribute vel numeric
@attribute onset_s numeric
@attribute dur_s numeric
@attribute measure numeric
@attribute pre_dur_b numeric
@attribute pre_dur_s numeric
@attribute nxt_dur_b numeric
@attribute nxt_dur_s numeric
@attribute pre_ionset_s numeric
@attribute nxt_ionset_s numeric
@attribute onset_b_mod numeric
@attribute pitch_mod numeric
@attribute n_simult numeric
@attribute prev_int numeric
@attribute next_int numeric
@attribute keyFifths numeric
@attribute note2key numeric
@attribute chord {Am}
@attribute chord_id numeric
@attribute chord_type {m}
@attribute note2chord numeric
@attribute isChordN {n}
@attribute mtr {s,ss,w,ww}
@attribute nar1 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar2 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar3 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute tempo numeric
@attribute phrase {f,i,m}
@attribute energy_rat numeric

@data
26.666667,0.33125,7,65,80,13.333333,0.165625,7,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,2.666667,5,1,-1,3,0,5,Am,9,m,4,n,ww,P,P,IP,90,m,1.046699
27,0.33125,6,68,80,13.5,0.165625,7,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,3,8,0,-3,1,0,8,Am,9,m,1,n,ww,P,IP,P,90,m,1.046699
27.333333,0.33125,2,69,80,13.666667,0.165625,7,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,3.333333,9,0,-1,2,0,9,Am,9,m,0,n,ww,IP,P,P,90,m,1.046699
27.666667,0.33125,2,71,80,13.833333,0.165625,7,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,3.666667,11,0,-2,-2,0,11,Am,9,m,2,n,ww,P,P,P,90,m,1.046699
28,0.33125,4,69,80,14,0.165625,8,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,0,9,0,2,-1,0,9,Am,9,m,0,n,ww,P,P,P,90,m,1.046699
28.333333,0.33125,7,68,80,14.166667,0.165625,8,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,0.333333,8,0,1,-3,0,8,Am,9,m,1,n,ww,P,P,P,90,m,1.046699
28.666667,0.33125,2,65,80,14.333333,0.165625,8,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,0.666667,5,0,3,-1,0,5,Am,9,m,4,n,ww,P,P,P,90,m,0.921699
29,0.33125,6,64,80,14.5,0.165625,8,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,1,4,0,1,-2,0,4,Am,9,m,5,n,ww,P,P,IP,90,m,0.921699
29.333333,0.33125,6,62,80,14.666667,0.165625,8,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,1.333333,2,0,2,-2,0,2,Am,9,m,7,n,ww,P,IP,P,90,m,0.921699
29.666667,0.33125,2,60,80,14.833333,0.165625,8,0.33125,0.220833,0.33125,0.220833,-0.166667,0.166667,1.666667,0,0,2,-1,0,0,Am,9,m,9,n,ww,IP,P,IP,90,m,0.921699
