@relation 'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45'

@attribute onset_b numeric
@attribute dur_b numeric
@attribute string numeric
@attribute pitch numeric
@attribute vel numeric
@attribute onset_s numeric
@attribute dur_s numeric
@attribute measure numeric
@attribute pre_dur_b numeric
@attribute pre_dur_s numeric
@attribute nxt_dur_b numeric
@attribute nxt_dur_s numeric
@attribute pre_ionset_s numeric
@attribute nxt_ionset_s numeric
@attribute onset_b_mod numeric
@attribute pitch_mod numeric
@attribute n_simult numeric
@attribute prev_int numeric
@attribute next_int numeric
@attribute keyFifths numeric
@attribute note2key numeric
@attribute chord {A7,B5,B7,B9,Bb7,C6,C7,D7,E,E7,Eb6,Eb7,F7,G,G6,G7}
@attribute chord_id numeric
@attribute chord_type {5,6,7,9,mayor}
@attribute note2chord numeric
@attribute isChordN {n,y}
@attribute mtr {s,ss,ww}
@attribute nar1 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar2 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute nar3 {P,R,D,ID,IP,VP,IR,VR,SA,SB,NA}
@attribute tempo numeric
@attribute phrase {f,i,m}
@attribute energy_rat numeric

@data
34,1.497917,7,55,80,29.142862,1.283929,9,1.497917,1.283929,1.497917,1.283929,0,0,2,7,3,-9,6,1,0,Bb7,11,7,4,y,ww,IR,P,SB,70,m,0.910534
34,1.497917,5,61,80,29.142862,1.283929,9,1.497917,1.283929,1.497917,1.283929,0,0,2,1,3,-6,2,1,6,Bb7,11,7,10,y,ww,P,SB,VR,70,m,0.985534
34,1.497917,7,63,80,29.142862,1.283929,9,1.497917,1.283929,0.497917,0.426786,0,1.285715,2,3,3,-2,1,1,4,Bb7,11,7,8,n,ww,SB,VR,IR,70,f,0.948034
35.5,0.497917,4,64,80,30.428577,0.426786,9,1.497917,1.283929,0.997917,0.855357,-1.285715,0.428572,3.5,4,0,-1,-19,1,3,Eb7,4,7,0,y,ww,VR,IR,P,70,i,1.023034
36,0.997917,4,45,80,30.857148,0.855357,10,0.497917,0.426786,0.997917,0.855357,-0.428572,0,0,9,3,19,10,1,2,A7,9,7,0,y,ww,IR,P,P,70,i,0.910534
36,0.997917,5,55,80,30.857148,0.855357,10,0.997917,0.855357,0.997917,0.855357,0,0,0,7,3,-10,5,1,0,A7,9,7,2,n,ww,P,P,SB,70,m,1.073034
36,0.997917,6,60,80,30.857148,0.855357,10,0.997917,0.855357,0.997917,0.855357,0,0,0,0,3,-5,4,1,7,A7,9,7,9,n,ww,P,SB,VR,70,m,1.023034
36,0.997917,5,64,80,30.857148,0.855357,10,0.997917,0.855357,0.997917,0.855357,0,0.857143,0,4,3,-4,5,1,3,A7,9,7,5,n,ww,SB,VR,SA,70,m,0.973034
37,0.997917,7,69,80,31.714291,0.855357,10,0.997917,0.855357,1.497917,1.283929,-0.857143,0.857143,1,9,0,-5,-22,1,2,A7,9,7,0,y,ww,VR,SA,IR,70,f,1.073034
38,1.497917,4,47,80,32.571434,1.283929,10,0.997917,0.855357,1.497917,1.283929,-0.857143,0,2,11,3,22,10,1,4,B7,11,7,0,y,ww,SA,IR,P,70,i,1.048034
